"","text"
"55","unlock crusaders collect gear and earn achievementscrusaders of the lost idols is the award winning clicker idle game of heroic awesomeness create a band of unusual heroes to battle monsters earn gold by killing them and use it to levelup and unlock new character abilities organize your crusaders by designing the perfect formation for maximum damage master formation strategy over multiple campaigns and events that are updated every monthformation strategythe only clickeridle game to feature a formation system crusader specific abilities buffs and gear challenge the player to find the best formation every campaign and eventunlock crusaderscollect an unusual host of over  characters such as the bat billionaire emo werewolf and roboturkey inspired by the world of video games and popular culture with more added every monthcollect gear buffs and trinketsa cornucopia of content with hundreds of unique upgrades for each character including unique gear and buffs are available to collect plusover  levelsmaster over six campaigns with dozens of objectives with deep playability and challenge  more campaigns released regularlydaily questseach day players are challenged to complete miniobjectives that reward success with precious red rubiesmonthly eventslimited time events featuring special objectives and exclusive new content updated every monthmissionssend your idle crusaders on side missions to unlock past event crusaders new gear earn enchantment points and jeweled chests plus more"
"56","adventurequest d is a crossplatform phone tablet  pcmac reimagining of the original d flash web browser game updated almost weekly battle ona true crossplatform massively multiplayer game that allows you to play your character on the same world as your friends from your pc mac android and apple ios devices set in the most dangerous era of adventurequests timeline the world has come under attack by a mysterious new threat answer the call and travel to the legendary town of battleon where you will discover unusual characters incredible adventures horrifying puns and a world story line so big that you will have to help us write it as we go did we mention regular updatesfeatures crossplatorm  play your character on the same world from your pc mac android apple ios phones  tabletsreal time combat multiclass system weapon fusion evolving world  regular updates with new stories areas monsters and weapons"
"57","grow your kingdom build alliances and explore one of the deepest idle rpgs everuse your money and influence to grow your kingdom from a single farm to a huge realm that earns wealth even while youre not online in realm grinder the player is given an incredible array of choices in how they build forge their new kingdom key featureschoose to align yourself with a dozen different factions each of which has their own distinct play style will you align with the elves who reward tapping for treasure or the demons who give massive bonuses to the most powerful structuresfurther fine tune your strategy by choosing unique upgrades buildings and spells to invest incontinue to unlock new and exciting systems like new factions research reincarnations excavations and way more months and months of unique contentachievement hunters will be delighted with the broad range and depth of the achievement system and its not just eye candy many strategies rely on collecting trophies in order to boost certain upgrades"
"58","hz battle royale is a free to play fastpaced battle royale shooter play the allnew return of the apocalypse expansion featuring a new map new faster paced gameplay and legendary weapons play solo duos or fives to survive outbreak and be the last ones standing free to playreturn of the apocalypsefree expansionthe infamous z map has finally arrived in hz as outbreak new fast paced gameplay ps quick jump nolock camera strafe quick run animation and morethe first ever legendary weapon apocalypse ak is now available in the allnew apocalypse crateif youre not first youre deadvisit the hz website  for more info"
"59","do you know how the insides of a terminators minigun work try world of guns the worlds most realistic d simulator of firearms and other things from tanks to delorean time machines find out what makes legendary pistols rifles machine guns and artillery pieces tick then disassemble them down to the tiniest partwhat is world of gunsa freetoplay game and an interactive encyclopedia simulating real firearms in d here you can literally climb inside a gun and understand its workings  cut it in half fire it and bring time to a crawl  and finally completely disassemble it and put it back again against the clock if you wishwog meticulously recreates historical and modern examples of firearm designer genius  from a tiny liberator pistol to a pound flak  antiaircraft gun it has both legendary world war guns and rare models that even museums struggle to find world of guns puts  years of firearm history into a single sleek and engaging video game models and   partshere you are guaranteed to find something that catches your fancysleek  modern glocks ps ms and tavorsguns steeped in history like colt saas garands and leeenfieldsa vast arsenal of sovietbloc guns from various aks to the rarest vss vintoreza dainty pocket derringer or a firebreathing m miniguna  sporting ruger or a mighty caliber boys antitank riflenot only wog covers most important models in firearm history but also the most popular screen divas like desert eagle and spastons of game modes and featuresevery model includesmodes for learning operation handling and field stripping the gun the armorer mode where you can completely disassemble the firearm timed game modes including a hardcore mode and a high scores tablesee every detail with the fully controllable camera layered xray feature and a cutaway mode along with complete time control including a slowmotion feature down to x youll even see the gasses flow inside a gas blockthe game also features shooting ranges with timed objectives from glocks to rpgspaint mode that lets you create custom weapon skinsminigames and quizzes with xp prizesunparalleled realismworld of guns has been used as a learning aid by armorers law enforcement and military personnel to create each model our team spends months poring over actual guns photos blueprints and documents each part out of hundreds functions in a physically correct way  exactly as it does in a real thing there are few ways to understand the different firearm actions and systems as clearlyconstant updates noble empire releases several new models every month and improves the older ones  majority of our models can be unlocked for free by anyone  power players will be able to achieve  completion and unlock all the gun models without spending a dime available modelspistolsglock czcolt sig pberetta fsdesert eagle sw sigmaspringfield xdmbrowning hipowermakarov pmjericho welrod mkiiwalther ppsmith  wesson mp ruger srgshhk uspfn fivesevenwalther paps stechkin automatic pistolberetta pxcz sig spmp grachremington rsmgassault pistolsmptecuzihk ump keltec plrfn pmacscorpion vz bt mpkriss vector  acpsterling mkm grease gunlaunchersrpg mmrevolverscolt pythonsw model colt saaruger new vaquerochiappa rhino dsruger super redhawkruger old armysw schofieldwebley mkvicolt walker nagant mwebley fosberysw mhistoricalcolt hammermauser cborchard cmaximharpers ferrylewis gunwinchester mauser browning automatic rifledreyse mmars pistolprotector palm pistolwwiitokarev pistolluger pmpsten mk iim garandthompson gunmauser kppshboys antitank riflesks riflemosinnagantdp  machinegunwalther plee enfiled no mk iiistgmpmg liberator fpptrdnambu type ptrsmasspringfield mppdppsm carbineassault riflesaksig sg commandolr mlhk gefn falfamasfmtarm carbineaknaksuas valhk gfn scarlarmalite arsa vzriflessig sgssvdhk slsdbarrett mmm cheytacsteyr scoutvss vintorezremington svttype  arisakaosvkarabiner mmachine gunmmd minigunbrowning mbrowning mrpkmgdshk compact gunsruger lcpderringercop amt backupruger lcrpss silentprotector palm pistolshotgunsremington mossberg benelli mbrowning aspaswinchester model winchester daewoo usaspancor jackhammersaigakartilleryzis divisional field gun cm flak sportruger mark iiruger  chargermarlin  rifleruger noberetta cx stormbrowning buck markcalico mbonus modelsbikecaptain americaducati carscustom hot rodlotus sevenac cobradeloreanmilitaryinfantry fighting vehicle bmphmmwv afu corsairskeletonshumanlionhorillahorseallosauruswolf"
"60","play the toprated tower defense franchise in this free headtohead strategy gameits monkey vs monkey for the first time ever  go head to head with other players in a bloonpopping battle for victory from the creators of bestselling bloons td  this all new battles game is specially designed for multiplayer combat featuring over  custom headtohead tracks incredible towers and upgrades allnew attack and defense boosts and the ability to control bloons directly and send them charging past your opponents defensescheck out these awesome features headtohead two player bloons td  over  custom battles tracks   awesome monkey towers each with  powerful upgrades including the never before seen cobra tower assault mode  manage strong defenses and send bloons directly against your opponent  defensive mode  build up your income and outlast your challenger with your superior defenses  battle arena mode  put your medallions on the line in a high stakes assault game winner takes all all new monkey tower boost  supercharge your monkey towers to attack faster for a limited time  all new bloons boost  power up your bloons to charge your opponent in assault mode  battle it out for top scores on the weekly leaderboards and win awesome prizes create and join private matches to challenge any of your steam friends   cool achievements to claim  customize your bloons with decals so your victory has a signature stamp"
"61","cuisine royale is an allkitchenwarfare battle royale game with the most honest system for loot boxes ever its made by developers of squad based mmo shooter enlisted and is completely free in battles you get ingredients that are used for cooking new suites masks gestures and other cosmetic items that dont influence your combat effectivenessfeaturesdinnerware will finally be able to show off its true potential use a colander as head protection equip a wok as a formidable breastplate or strap on a massive waffle maker to be protected even against the largest calibers of weaponsimprove your characteristics in the battle significantly strapping on a medical dropper will provide you with accelerated health regeneration a set of glasses will increase weapon accuracy and chewing on a cigar will turn you into a real tough guystand out from the crowd in battles you get ingredients that are used for cooking new suites masks gestures tombstones and other cosmetic items that dont influence your combat effectiveness you can also purchase optional kitchen pass that increases rewards per battle and unlocks additional recipesthe most honest system for loot boxes those are scattered around the battlefield and are free to open their content is well labelled and the drop chance of what is said to be inside is a  guaranteefair play you can play cuisine royale in first and third person view in order to mitigate advantage of the latter every player has a minion with a camera that can uncover the position of a player who is peeking around a corner so if you see a butterfly or a drone  you should know that you are being watchedmassive and intense battles  players per session in total will head out from different parts of the map starting only in their underwear and making their way to the center of a battlefield that is constantly shrinking in size"
"62","in a mashup of rts  tower defense guns up is an action packed strategy game lets you build and upgrade your defenses take your army onto the battlefield to wreak havoc on other playersstrategic control of the battlefield is achieved through the careful deployment of units and special abilities smokescreens bombing runs and more specials drop during combat but can also be earned as rewards for victory and brought into the next battle realtime strategy  send your troops into battle to attack others or defend your base support your soldiers by giving orders and backing them up by deploying special attacks during battleplayer vs player  guns up features asynchronous multiplayer battles where attackers are pitted against other players defending bases view replays of your opponents attacks and perform successful retaliations to earn bonus loot and resourcesdefense  layout expand experiment and upgrade your base to create a fine tuned defense against attackers successful defends earn rewards even when youre awayoffense  expand your roster by recruiting new soldier classes upgrade and customize your troops as you gather loot in battles soldiers can gain veterancy and be used in multiple battles or base defense earn medals to permanently boost the stats of your unitsalliance competitions  join up with friends to battle other alliances for loot and bragging rights on the leaderboards each season the top alliances are awarded loot and badges"
"63","changewing dragon now availablefly fast train hard learn well be the ultimate dragon trainer create your own viking and train dragons in this d mmojoin hiccup toothless and gobber in the school of dragons where you can play in the dreamworks animation how to train your dragon universe with all your favorite dragons and viking friends learn everything from science basics to the art of shooting fireballs all while soaring through the skies on your very own dragonraise nurture and train your dragon  the more you accomplish with your dragon the more you bond with it and rise in the ranks at the school of dragons also join up with others in clans to adventure together and dominate the land of berk while obtaining fame and rewardsexperience all the fun and adventure of how to train your dragon in a d world when you enroll in school of dragonsfeaturesvisit familiar friends like hiccup toothless and others from the how to train your dragon franchise discover new friends as you progress in the school of dragonsplay and watch  view clips from the movie that immerse you into the world of berkfly with toothless thunderdrum whispering death and all the other dragons in flight club as you become the ultimate dragon trainerrace your dragon against dragon trainers worldwide to win rewards and glorythe vast world of berk beckons you with activities such as learning to fly your dragon fireball shooting farming fishing and so much morecreate your very own unique avatar pick your own dragon and customize its appearance from a multitude of optionssocialize with your friends or meet new ones in this fantastic expansive universemystery boxes uncover fantastic treasures to help you in the school of dragons"
"64","everquest ii is the epitome of massively multiplayer gaming  the ultimate blend of deep features heritage and communityexplore an enormous online game where friends come together for adventure and community immerse yourself in a living breathing fantasy world filled with exciting locales mysterious lore monsters gods and dragons vast beautiful and dangerous everquest ii sets the standard for mmorpg online gaming everquest ii is free to playyour character your story your adventure  levels of unparalleled gameplay  strong heritage and lore spanning  years and  expansions  a thriving friendly community with thousands of guilds  thousands of creatures to battle and quests to complete hundreds of gorgeous expansive and dangerous environments to explore  independently leveled tradeskill system with deep quest lines  full support of different play styles from including solo group raid and pvp  robust housing system with dozens of styles thousands of items ratings and more  optional content available for purchase"
